id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7dt6x5M1jzdTEt8oCbisTK,Better Now,Post Malone,0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,231267,4
1cTZMwcBJT0Ka3UJPXOeeN,Nice For What,Drake,0.567,0.913,8,-6.471,1,0.0736,0.0934,0.000124,0.114,0.792,93.35,210926,4
3swc6WTsr7rl9DqQKQA55C,Psycho,Post Malone,0.739,0.559,8,-8.011,1,0.117,0.58,0,0.112,0.439,140.124,221440,4
2XW4DbS6NddZxRPm5rMCeY,God's Plan,Drake,0.753,0.454,7,-9.488,1,0.0963,0.0244,5.62e-05,0.498,0.344,77.17,198960,4
3fpVWegR6YOS1Yk5HSMYIq,Paranoid,Post Malone,0.61,0.554,0,-5.501,1,0.137,0.0379,3.84e-05,0.166,0.244,159.85,221787,4
3DoBTwfr8yi2LN08SBpFkN,Watch (feat. Lil Uzi Vert & Kanye West),Travis Scott,0.706,0.559,4,-5.216,0,0.0416,0.0372,0,0.379,0.252,78.534,217405,4
4H7WNRErSbONkM06blBoGc,Stay,Post Malone,0.479,0.468,5,-5.396,1,0.0274,0.414,0,0.148,0.35,85.913,204427,4
0e7ipj03S05BNilyu5bRzt,rockstar,Post Malone,0.587,0.535,5,-6.09,0,0.0898,0.117,6.56e-05,0.131,0.14,159.847,218147,4
4qKcDkK6siZ7Jp1Jb4m0aL,Look Alive (feat. Drake),BlocBoy JB,0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,181263,4
58q2HKrzhC3ozto2nDdN4z,I Like It,Cardi B,0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390,4
2VdT56BGpdqNHUgOe1j5vc,Rich & Sad,Post Malone,0.601,0.59,2,-5.001,1,0.0569,0.186,0,0.0942,0.274,151.952,206453,4
5VuxWXbt7XENQCtE9TzpTv,Spoil My Night,Post Malone,0.669,0.675,1,-2.869,1,0.0337,0.337,1.5e-05,0.109,0.262,160.911,194560,4
6IaieqiCVvsNvEt6Y7yOFa,Ball For Me,Post Malone,0.792,0.56,9,-4.125,1,0.225,0.493,0,0.0849,0.505,134.044,206267,4
5SxkdsY1ufZzoq9iXceLw9,No Tears Left To Cry,Ariana Grande,0.703,0.696,0,-5.482,1,0.0529,0.0375,5.65e-06,0.274,0.366,121.969,205947,4
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4
09IOPhEh1OMe0HD9b36FJk,Over Now,Post Malone,0.559,0.761,4,-4.041,0,0.0877,0.131,1.6e-06,0.143,0.24,163.898,246987,4
5lZZmityu9TAjNvSY6GLhR,Zack And Codeine,Post Malone,0.742,0.84,5,-5.198,0,0.0471,0.143,0,0.133,0.287,138.032,204360,4
32lItqlMi4LBhb4k0BaSaC,Candy Paint,Post Malone,0.67,0.654,4,-5.944,1,0.153,0.627,1.02e-06,0.071,0.438,180.024,227533,4
7yotKA30dwTKNEGomV9ZsI,KOD,J. Cole,0.831,0.782,0,-6.274,1,0.15,0.21,0,0.113,0.199,141.869,191437,4
6mAz8D1TmlTuef90dbNIiZ,Plug Walk,Rich The Kid,0.876,0.519,11,-6.531,1,0.143,0.202,0,0.108,0.158,94.981,175230,4
5ffntNJnJOeFv7b7DCd0Bw,Takin' Shots,Post Malone,0.767,0.625,5,-6.193,1,0.0836,0.597,0,0.409,0.577,120.092,216747,4
688QpQAwqsLdBR6lr13wK1,Same Bitches,Post Malone,0.727,0.774,10,-5.246,0,0.0588,0.379,2.47e-06,0.114,0.211,99.932,212467,4
1D2L6MefbXon28PzIk9I3r,92 Explorer,Post Malone,0.802,0.743,7,-4.82,0,0.0474,0.269,1.36e-06,0.121,0.877,146.03,211427,4
6n4U3TlzUGhdSFbUUhTvLP,Walk It Talk It,Migos,0.909,0.628,2,-5.456,1,0.201,0.0739,0,0.108,0.406,145.905,276147,4
