id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4vS8VaBwJJV5Ry7UFIQuoo,Lean On (feat. MØ & DJ Snake),Major Lazer,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,4
2EBCVPNAG46nbgs6jXPGvv,Starships,Nicki Minaj,0.746,0.728,11,-2.464,0,0.0762,0.158,0,0.249,0.708,124.954,210627,4
00GfiT5AxTNSDQihPeMRkM,Waiting For Love,Avicii,0.575,0.75,6,-3.798,0,0.0438,0.299,0,0.268,0.609,128.091,228750,4
0TVV2gFROJaB3kIZyCUvIY,Rather Be (feat. Jess Glynne),Clean Bandit,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,227833,4
368S2jjTfDk9Hk9x9YDzwj,All Summer Long,Kid Rock,0.702,0.875,7,-3.588,1,0.0283,0.014,0,0.0872,0.905,103.003,296960,4
2Vi0fxL1fyE7KrKt3JihJn,Build Me up Buttercup (Re-Recorded),The Foundations,0.707,0.814,0,-7.364,1,0.0367,0.158,2.72e-06,0.106,0.922,132.062,185480,4
0NenBmcPtlaBGYAhU798G4,Problem,Ariana Grande,0.653,0.802,1,-5.317,0,0.215,0.0214,1.93e-05,0.108,0.589,102.993,193987,4
7b71WsDLb8gG0cSyDTFAEW,Summer,Calvin Harris,0.603,0.861,4,-3.565,0,0.0325,0.0215,0.043,0.1,0.72,127.962,224507,4
2S5LNtRVRPbXk01yRQ14sZ,I Don't Like It I Love It (feat. Robin Thicke & Verdine White),Flo Rida,0.854,0.766,9,-4.697,0,0.141,0.0242,0,0.0793,0.784,118.004,224258,4
1FHNctV68GUNLgXclG2DtR,Dancing in the Moonlight,Toploader,0.639,0.845,10,-3.333,1,0.0372,0.0528,0,0.336,0.871,119.485,233373,4
0uslfroVWg7qGWhdduwC0K,California Gurls - feat. Snoop Dogg,Katy Perry,0.791,0.76,0,-3.785,1,0.0503,0.00455,0,0.127,0.444,125.04,236253,4
1oF75Qbv8UvOBm1imUAE51,Don't You Worry Child (Radio Edit) [feat. John Martin],Swedish House Mafia,0.612,0.84,11,-3.145,0,0.0509,0.112,0,0.116,0.438,129.042,212862,4
4RwIkzRJEk1pPVsyd592tc,MMMBop,Hanson,0.693,0.97,9,-3.725,1,0.0522,0.00987,0.00143,0.101,0.657,104.892,237453,4
6VCuugwQawO340qyGolyzD,We Used To Be Friends,The Dandy Warhols,0.664,0.663,6,-4.895,0,0.0282,9.08e-05,0.209,0.324,0.499,105.177,199541,4
5HQVUIKwCEXpe7JIHyY734,Young Wild & Free (feat. Bruno Mars),Snoop Dogg,0.715,0.655,0,-6.425,1,0.137,0.0525,0,0.115,0.531,95.078,207333,4
6t6oULCRS6hnI7rm0h5gwl,Some Nights,fun.,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,277040,4
4fT0uq9cDTQg9hq5liF48l,We Got The World,Icona Pop,0.524,0.801,6,-4.757,1,0.0538,0.0102,0,0.345,0.65,128.051,187893,4
6XJkFdxn0DLA17lTv54pKS,Second Chance,Peter Bjorn and John,0.597,0.964,7,-1.543,1,0.0849,0.0177,0.00249,0.0697,0.788,132.762,252853,4
2YlYHoXimSTWxXKgN3eX2t,I Wonder,Rodríguez,0.506,0.704,9,-6.634,1,0.0799,0.0989,0.000214,0.12,0.709,113.276,154053,4
5SsaspEP2Q2ZDYbLEjcQLE,How Good It Can Be,The 88,0.707,0.693,0,-6.547,0,0.0256,0.0991,0,0.236,0.874,103.963,231627,4
5PsMbxhgWpJMsouEfDTX6r,Locked Out Of Heaven,Bruno Mars,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,233478,4
22UQelxzCIskdmb8pIqq8U,Babel,Mumford & Sons,0.424,0.839,2,-5.848,1,0.0558,0.0246,0.000646,0.0828,0.665,80.937,207934,4
6xe8Sx5h8MYL3ZD5totFZT,Horchata,Vampire Weekend,0.835,0.787,0,-7.078,1,0.143,0.0741,0,0.294,0.827,120.0,206733,4
6ich2xMH5AR39V85miIAN8,I Don't Want to Be,Gavin DeGraw,0.423,0.862,0,-5.13,0,0.0695,0.00791,0,0.133,0.462,154.746,217760,4
2oF7FZHIJbzjeEXZ3D0Ku4,Good Vibrations - 2001 - Remaster,The Beach Boys,0.403,0.495,10,-6.888,0,0.0312,0.387,8.03e-06,0.147,0.38,132.91,217747,4
5npqVYHjQeHFTE9iZBio6Q,When The Sun Goes Down,Arctic Monkeys,0.35,0.874,11,-4.755,0,0.186,0.0363,0,0.108,0.416,169.512,200013,4
1FSWSs9CL01RCYxXtm08Rf,Dance with Me Tonight,Olly Murs,0.672,0.748,11,-5.922,0,0.0589,0.305,0,0.0811,0.964,163.984,202227,4
6kcuYyyU2tPxGP3PDVWYJT,Summer Paradise - feat. Sean Paul,Simple Plan,0.421,0.822,2,-4.415,1,0.0542,0.0132,0,0.092,0.751,171.935,234787,4
1IRZwD3r9VOehOR8rGeV3Y,Island In The Sun,Weezer,0.647,0.805,4,-6.269,0,0.0279,0.00789,0.00211,0.168,0.707,114.638,200667,4
2VMKJf3EMKLlycPuggjagS,Where The City Meets The Sea,The Getaway Plan,0.473,0.861,6,-4.676,0,0.0573,0.0039,0,0.141,0.462,143.984,215947,4
6aGjEZ7kq3YXgD0EDt80O5,Live While We're Young,One Direction,0.658,0.837,2,-2.063,1,0.0543,0.0629,0,0.0969,0.936,126.015,200187,4
6vGZQFUSzHTitoQfG7hlaB,Ai Se Eu Te Pego - Live,Michel Teló,0.676,0.935,11,-4.55,1,0.0692,0.357,0,0.853,0.85,96.055,166867,4
